run_id,rep,load_prices_sec,align_weights_sec,compute_metrics_sec,total_sec,io_read_mb,cpu_mean_pct,cpu_peak_pct,rss_peak_mb,cache_dropped,implementation,storage_format,portfolio_scale,phase
36bddd20-6d79-4183-a7ed-86f1e96c52bc,4,0.00449,0.042832,5.611354,5.658676000000001,0.0,17.4,100.0,21991.3,False,numpy_vectorised,parquet_wide_snappy,1000000,2_storage_opt
38493971-fdfb-40ea-b393-1ce21abfa7a5,0,0.004683,0.000273,0.000189,0.005144999999999999,0.0,0.0,0.0,240.4,False,numba_parallel,parquet_wide_uncompressed,100,3_compute_opt
38493971-fdfb-40ea-b393-1ce21abfa7a5,1,0.004031,0.000231,0.000214,0.004476,0.0,7.7,7.7,241.6,False,numba_parallel,parquet_wide_uncompressed,100,3_compute_opt
38493971-fdfb-40ea-b393-1ce21abfa7a5,2,0.003897,0.000584,0.000194,0.0046749999999999995,0.0,7.7,7.7,242.2,False,numba_parallel,parquet_wide_uncompressed,100,3_compute_opt
38493971-fdfb-40ea-b393-1ce21abfa7a5,3,0.003709,0.000267,0.000171,0.0041470000000000005,0.0,8.3,8.3,242.5,False,numba_parallel,parquet_wide_uncompressed,100,3_compute_opt
38493971-fdfb-40ea-b393-1ce21abfa7a5,4,0.003714,0.000227,0.000182,0.004123,0.0,0.0,0.0,243.0,False,numba_parallel,parquet_wide_uncompressed,100,3_compute_opt
44c29b50-a630-48fa-9841-61aed014fe1d,0,0.037679,0.004924,0.570995,0.613598,0.0,27.6,100.0,3086.9,False,numpy_vectorised,parquet_per_stock,100000,2_storage_opt
44c29b50-a630-48fa-9841-61aed014fe1d,1,0.0412,0.004853,0.553753,0.5998060000000001,0.0,25.8,100.0,3087.2,False,numpy_vectorised,parquet_per_stock,100000,2_storage_opt
44c29b50-a630-48fa-9841-61aed014fe1d,2,0.040198,0.005006,0.60671,0.651914,0.0,27.4,100.0,3087.2,False,numpy_vectorised,parquet_per_stock,100000,2_storage_opt
44c29b50-a630-48fa-9841-61aed014fe1d,3,0.036022,0.004846,0.556152,0.59702,0.0,26.9,100.0,3087.2,False,numpy_vectorised,parquet_per_stock,100000,2_storage_opt
44c29b50-a630-48fa-9841-61aed014fe1d,4,0.036445,0.004824,0.551502,0.592771,0.0,26.9,100.0,3087.2,False,numpy_vectorised,parquet_per_stock,100000,2_storage_opt
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,0,0.004824,0.010808,0.300312,0.315944,0.0,77.4,100.0,324.6,False,go_goroutines,parquet_wide_uncompressed,100000,2_storage_opt
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,1,0.00464,0.010537,0.29872,0.313897,0.0,76.3,100.0,327.3,False,go_goroutines,parquet_wide_uncompressed,100000,2_storage_opt
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,2,0.0043,0.010702,0.292861,0.307863,0.0,79.7,100.0,327.9,False,go_goroutines,parquet_wide_uncompressed,100000,2_storage_opt
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,3,0.004534,0.010576,0.293597,0.308707,0.0,77.5,100.0,327.8,False,go_goroutines,parquet_wide_uncompressed,100000,2_storage_opt
4514142f-05c0-4e04-b8a4-8cea9d5d50c0,4,0.004178,0.011182,0.288843,0.304203,0.0,77.6,100.0,328.4,False,go_goroutines,parquet_wide_uncompressed,100000,2_storage_opt
4727c4ed-4a36-49ee-9566-b409bb93825a,0,0.004334,0.000279,0.001021,0.005634,0.0,12.5,12.5,122.7,False,go_goroutines,parquet_wide_uncompressed,100,2_storage_opt
4727c4ed-4a36-49ee-9566-b409bb93825a,1,0.003608,0.000247,0.000959,0.004814,0.0,23.5,23.5,123.9,False,go_goroutines,parquet_wide_uncompressed,100,2_storage_opt
4727c4ed-4a36-49ee-9566-b409bb93825a,2,0.004823,0.000267,0.000934,0.006024,0.0,11.1,11.1,124.5,False,go_goroutines,parquet_wide_uncompressed,100,2_storage_opt
4727c4ed-4a36-49ee-9566-b409bb93825a,3,0.003423,0.000251,0.000845,0.004519,0.0,7.7,7.7,124.9,False,go_goroutines,parquet_wide_uncompressed,100,2_storage_opt
4727c4ed-4a36-49ee-9566-b409bb93825a,4,0.003551,0.000241,0.000894,0.004686,0.0,7.7,7.7,125.5,False,go_goroutines,parquet_wide_uncompressed,100,2_storage_opt
48d2d0d3-33b8-4937-98cd-edcd5cbffb1b,0,0.005839,0.010534,0.124988,0.14136100000000001,0.0,39.3,86.8,989.1,False,julia_loopvec,parquet_wide_uncompressed,100000,2_storage_opt
48d2d0d3-33b8-4937-98cd-edcd5cbffb1b,1,0.005654,0.010974,0.143147,0.159775,0.0,31.5,67.8,990.3,False,julia_loopvec,parquet_wide_uncompressed,100000,2_storage_opt
48d2d0d3-33b8-4937-98cd-edcd5cbffb1b,2,0.004985,0.010658,0.123364,0.139007,0.0,46.9,73.0,895.0,False,julia_loopvec,parquet_wide_uncompressed,100000,2_storage_opt
4d6bafac-cc5d-486c-9c11-31e9952532b5,0,0.038126,0.043109,5.55621,5.6374450000000005,0.0,16.8,100.0,21961.0,False,numpy_vectorised,parquet_per_stock,1000000,2_storage_opt
4d6bafac-cc5d-486c-9c11-31e9952532b5,1,0.037587,0.042875,5.708626,5.789088,0.0,16.4,100.0,21961.0,False,numpy_vectorised,parquet_per_stock,1000000,2_storage_opt
4d6bafac-cc5d-486c-9c11-31e9952532b5,2,0.03767,0.045344,5.574497,5.657511,0.0,16.9,100.0,21961.0,False,numpy_vectorised,parquet_per_stock,1000000,2_storage_opt
4d6bafac-cc5d-486c-9c11-31e9952532b5,3,0.039068,0.043297,5.580439,5.662804,0.0,16.9,100.0,21961.0,False,numpy_vectorised,parquet_per_stock,1000000,2_storage_opt
4d6bafac-cc5d-486c-9c11-31e9952532b5,4,0.041151,0.042866,5.629899,5.713916,0.0,16.7,100.0,21961.0,False,numpy_vectorised,parquet_per_stock,1000000,2_storage_opt
550ee20d-1a70-4828-b208-1860b7e107f8,0,0.005462,0.042532,1.159685,1.2076790000000002,0.0,66.8,100.0,2417.4,False,fortran_openmp,parquet_wide_uncompressed,1000000,2_storage_opt
550ee20d-1a70-4828-b208-1860b7e107f8,1,0.005334,0.04223,1.160537,1.2081009999999999,0.0,74.3,100.0,2425.3,False,fortran_openmp,parquet_wide_uncompressed,1000000,2_storage_opt
550ee20d-1a70-4828-b208-1860b7e107f8,2,0.004961,0.042813,1.096944,1.144718,0.0,71.3,100.0,2425.9,False,fortran_openmp,parquet_wide_uncompressed,1000000,2_storage_opt
550ee20d-1a70-4828-b208-1860b7e107f8,3,0.004787,0.042502,1.215286,1.262575,0.0,69.7,100.0,2426.3,False,fortran_openmp,parquet_wide_uncompressed,1000000,2_storage_opt
550ee20d-1a70-4828-b208-1860b7e107f8,4,0.004349,0.042968,1.09287,1.140187,0.0,71.9,100.0,2426.9,False,fortran_openmp,parquet_wide_uncompressed,1000000,2_storage_opt
598d5d76-1578-4a7d-9641-2dbda33a7909,0,0.009056,0.042235,5.553576,5.604867,0.0,16.9,100.0,21940.1,False,numpy_vectorised,csv_wide,1000000,1_csv_baseline
