run_id,config_fingerprint,superseded,json_path,ingested_at,timestamp,phase,implementation,language,storage_format,portfolio_scale,portfolio_k,universe_size,seed,repetitions,warmup,drop_cache_attempted,cpu_model,cpu_logical_cores,cpu_physical_cores,ram_gb,gpu_model,python_version,numpy_version,pyarrow_version,numba_version,blas_implementation,git_sha,omp_num_threads,numba_num_threads,median_total_sec,p10_total_sec,p90_total_sec,median_load_sec,median_compute_sec,throughput,peak_ram_mb,mean_io_read_mb,mean_cpu_pct,peak_cpu_pct,result_checksum,notes
e2e330cc-80b4-4fd7-a4c1-9c11c5db1065,ed53c7939a4ff55f5206eeb1d294f765f9a3f776c305e06fb0569b09d99a950d,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/e2e330cc-80b4-4fd7-a4c1-9c11c5db1065.json,2026-02-20 03:53:46.820751,2026-02-20 01:35:06.390896,2_storage_opt,java_vector_api,java,parquet_wide_uncompressed,100000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.217031,0.212103,0.225266,0.004678,0.202232,460763.67,763.9,0.0,67.0,100.0,94864ee90467d7abf833c65bd652113d9ba91026ada95e9376e34a6ce134251d,
2c98d015-8b6c-4c91-8881-3f2440877bbf,25a3981a3253e60181b493838598414e6910b508580aea28d227781afcfb268f,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/2c98d015-8b6c-4c91-8881-3f2440877bbf.json,2026-02-20 03:53:45.345510,2026-02-20 01:35:08.664907,2_storage_opt,java_vector_api,java,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,2.099725,2.07129,2.100617,0.00507,2.05153,476252.84,7413.3,0.0,76.7,100.0,0f34d913c93fad1e556062f4eb05ffd2b0f9ac02b80b287829cbed0f6406a10b,
8f4315f5-ceec-4ded-8881-9f369a5cee87,96fc30ff9176a21e8ecf797da0d3048f56e313ce9170708723aedb034c794b6c,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/8f4315f5-ceec-4ded-8881-9f369a5cee87.json,2026-02-20 03:53:46.205983,2026-02-20 00:45:51.803921,2_storage_opt,julia_loopvec,julia,parquet_wide_uncompressed,100,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.004301,0.004095,0.006345,0.003739,0.000314,23250.41,741.9,0.0,10.0,20.0,ae94d026f6a9aa7424cd2d50010b3f464af7b4a5fc9ffe8fadb06901c3f77524,
2b035850-7d1d-4446-98db-111315f84d26,6006034683c495226d8e9309c03d45660b59eb9e1f8f2a154b02b0b6ab07edb5,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/2b035850-7d1d-4446-98db-111315f84d26.json,2026-02-20 03:53:45.335408,2026-02-20 00:46:01.092590,2_storage_opt,julia_loopvec,julia,parquet_wide_uncompressed,1000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.005008,0.00494,0.006545,0.003599,0.001293,199680.51,729.1,0.0,26.7,28.6,548ddf843116b24eddef38f941c6239cb85215b60e09c17cef7fe1eaaa60b584,
48d2d0d3-33b8-4937-98cd-edcd5cbffb1b,473af8768eed8b918440f1a2fe4f8f7b5bfd36bb69164bb63af4a0bb0ecf3d0a,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/48d2d0d3-33b8-4937-98cd-edcd5cbffb1b.json,2026-02-20 03:53:45.610305,2026-02-20 00:35:36.794779,2_storage_opt,julia_loopvec,julia,parquet_wide_uncompressed,100000,15,100,42,3,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,0.141361,0.139478,0.156092,0.005654,0.124988,707408.69,990.3,0.0,39.3,86.8,063e00aab18d19cd4712c11baddb681f6efd0dc8c680a4f3cb853312d6c3b7c1,
9dd5a39c-2179-43c1-b224-7df02cecfa31,47ac9fc4c3908c0424d46fa013829c0d4db6efbd01896720142c60da7ff5c26f,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/9dd5a39c-2179-43c1-b224-7df02cecfa31.json,2026-02-20 03:53:46.274270,2026-02-20 00:35:49.877756,2_storage_opt,julia_loopvec,julia,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,0.64.0,,dd9bcae,,,1.341427,1.340398,1.346518,0.004745,1.233433,745474.78,3476.4,0.0,11.5,91.1,acd347769f778a7d4c5ab6071643ff1038e7f78388b751da8aa1edd90f7a129d,
e86a0a5e-f56a-4d4c-9ecd-037647f4880a,3e5f5210ddeec5f035b59e75c2157ae8f63ecb9a347f5ea226dc5736c7bc367a,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/e86a0a5e-f56a-4d4c-9ecd-037647f4880a.json,2026-02-20 03:53:46.886366,2026-02-19 12:27:33.556017,2_storage_opt,numpy_vectorised,python,parquet_per_stock,100,15,100,42,5,True,True,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,,783d9a5,,,0.071963,0.070158,0.078492,0.070754,0.000492,1389.6,1288.4,0.0,100.0,100.0,fe2382746d0abea967f13419f1f0f6028466169e8854df17e464ed8f87357e8d,
0c27095a-acbc-44ef-b7f0-7731c999002a,56d70910b30e345cc6016f3cd7926b4eeec326e8631bb82af37369a6424c4c3f,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/0c27095a-acbc-44ef-b7f0-7731c999002a.json,2026-02-20 03:53:45.205814,2026-02-19 12:29:37.286287,2_storage_opt,numpy_vectorised,python,parquet_wide_uncompressed,100,15,100,42,5,True,True,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,,783d9a5,,,0.004952,0.004924,0.014619,0.004301,0.000349,20193.86,1220.3,0.0,100.0,100.0,12cd7c05148abeed23e13fcd2156677bfe2c958ffd4ebc80dba121e377b657c8,
e4bba5a8-3f01-426d-9315-02cfa63df04d,7e6125319d6082c2c31f3df74d11637bf3d9613c9f0c4332a58384a10c6cf366,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/e4bba5a8-3f01-426d-9315-02cfa63df04d.json,2026-02-20 03:53:46.843276,2026-02-19 12:28:56.358280,2_storage_opt,numpy_vectorised,python,parquet_wide_zstd,100,15,100,42,5,True,True,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,,783d9a5,,,0.018247,0.016637,0.020234,0.0124,0.006341,5480.35,1209.5,0.0,100.0,100.0,12cd7c05148abeed23e13fcd2156677bfe2c958ffd4ebc80dba121e377b657c8,
7da96fcb-6589-4443-a023-f6d2d8a43b34,67034172de90474728e56245e243172f7b23fcd4b45f88cb349dd09dde2b23fe,False,/home/rjdscott/Documents/projects/portfolio-simulator/results/7da96fcb-6589-4443-a023-f6d2d8a43b34.json,2026-02-20 03:53:46.011119,2026-02-19 12:28:15.383086,2_storage_opt,numpy_vectorised,python,parquet_wide_snappy,100,15,100,42,5,True,True,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,,783d9a5,,,0.01027,0.006543,0.013458,0.007767,0.00037,9737.1,1185.7,0.0,100.0,100.0,12cd7c05148abeed23e13fcd2156677bfe2c958ffd4ebc80dba121e377b657c8,
