run_id,timestamp,phase,implementation,language,storage_format,portfolio_scale,portfolio_k,universe_size,seed,repetitions,warmup,drop_cache_attempted,median_total_sec,p10_total_sec,p90_total_sec,median_load_sec,median_compute_sec,throughput,peak_ram_mb,mean_io_read_mb,mean_cpu_pct,peak_cpu_pct,cpu_model,cpu_logical_cores,cpu_physical_cores,ram_gb,gpu_model,python_version,numpy_version,pyarrow_version,blas,git_sha,result_checksum
0139b287-96ef-4cb5-8367-d9b202795500,2026-02-19T13:47:59.369087+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,1.210344,1.179332,1.243975,0.004536,1.105462,826211.39,2954.4,0.0,67.4,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,f31c34573afe55d0437fd2921e0cc1c8d52d3f5e80d7c59e4f5f2bf80f60fa5a
410122a4-4c67-4a00-af9f-2e08d4952d3b,2026-02-19T13:45:45.695570+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,1.161361,1.15113,1.246531,0.004432,1.113972,861058.71,2424.6,0.0,75.9,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,f31c34573afe55d0437fd2921e0cc1c8d52d3f5e80d7c59e4f5f2bf80f60fa5a
b11237b8-8f96-423c-bb15-64346d784956,2026-02-19T13:25:13.575212+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000000,15,100,42,3,True,False,1.156367,1.149694,1.235248,0.00488,1.109288,864777.36,2419.5,0.0,77.0,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,f31c34573afe55d0437fd2921e0cc1c8d52d3f5e80d7c59e4f5f2bf80f60fa5a
e779799a-cd1b-457d-9d9a-7319b64d2a6e,2026-02-19T13:28:33.351857+00:00,2_storage_opt,cpp_openmp,cpp,parquet_wide_uncompressed,1000000,15,100,42,5,True,False,1.14995,1.135756,1.176678,0.004459,1.102445,869603.03,2575.7,0.0,70.6,100.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,f31c34573afe55d0437fd2921e0cc1c8d52d3f5e80d7c59e4f5f2bf80f60fa5a
01312e54-5199-4da8-9322-c7d89ec39131,2026-02-19T13:47:47.514452+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,100,15,100,42,5,True,False,0.0039,0.003681,0.004597,0.003313,0.000187,25641.03,243.9,0.0,7.1,16.7,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,e749b0b9a4cd08bda9e0d9808b7f10898c9c7cb60bde28ebdb23e19b56820c4b
2ea9afcd-d121-45c6-8493-884d4da8cc30,2026-02-19T13:46:14.495017+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,100,15,100,42,5,True,False,0.004146,0.003946,0.005101,0.003663,0.000191,24119.63,243.7,0.0,8.3,21.4,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,e749b0b9a4cd08bda9e0d9808b7f10898c9c7cb60bde28ebdb23e19b56820c4b
38493971-fdfb-40ea-b393-1ce21abfa7a5,2026-02-19T13:28:21.424648+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,100,15,100,42,5,True,False,0.004476,0.004133,0.004957,0.003897,0.000189,22341.38,243.0,0.0,7.7,8.3,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,e749b0b9a4cd08bda9e0d9808b7f10898c9c7cb60bde28ebdb23e19b56820c4b
2d5656f5-e732-4a52-8acf-86ade3a04cee,2026-02-19T13:47:47.698053+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005178,0.005051,0.005297,0.003669,0.001238,193124.76,246.5,0.0,20.0,26.7,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,ad6dc9cf6195b24a68aec2d6d31df5b0d48a072dc380b9ca740c0c26670abbca
38341553-9713-4789-a83a-2e43870d6beb,2026-02-19T13:18:29.810608+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,1000,15,100,42,1,True,False,0.005671,0.005671,0.005671,0.004387,0.000943,176335.74,259.8,0.0,0.0,0.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,ad6dc9cf6195b24a68aec2d6d31df5b0d48a072dc380b9ca740c0c26670abbca
92fae279-4608-4433-bd9d-61cf1db5f1e9,2026-02-19T13:28:21.605259+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005476,0.005052,0.00758,0.003756,0.001306,182615.05,245.1,0.0,23.5,26.7,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,ad6dc9cf6195b24a68aec2d6d31df5b0d48a072dc380b9ca740c0c26670abbca
a56b1299-a326-4ea3-86b9-64d3b6603f97,2026-02-19T13:46:14.915563+00:00,2_storage_opt,numba_parallel,python,parquet_wide_uncompressed,1000,15,100,42,5,True,False,0.005159,0.005037,0.005984,0.003725,0.00113,193836.01,245.8,0.0,11.8,25.0,x86_64,28,20,67.2,NVIDIA GeForce RTX 4070 Ti SUPER,3.11.14,2.4.2,23.0.1,,70b0b17,ad6dc9cf6195b24a68aec2d6d31df5b0d48a072dc380b9ca740c0c26670abbca
