run_id,implementation,storage_format,portfolio_scale,phase,rep,elapsed_sec,load_prices_sec,align_weights_sec,compute_metrics_sec,total_sec,io_read_mb,io_read_syscalls,cpu_mean_pct,cpu_peak_pct,cpu_p90_pct,rss_peak_mb,rss_mean_mb,cache_dropped
c47ffdc8-d9e1-4dc8-9f5f-0c14ebb9cd00,polars_engine,parquet_wide_uncompressed,100000,3_compute_opt,0,0.946848,0.004409,0.010485,0.930171,0.9450649999999999,0.0,79,30.0,100.0,99.3,3715.8,3049.8,False
c47ffdc8-d9e1-4dc8-9f5f-0c14ebb9cd00,polars_engine,parquet_wide_uncompressed,100000,3_compute_opt,1,0.947462,0.00445,0.010366,0.930785,0.945601,0.0,79,30.0,100.0,98.7,3777.7,3154.3,False
c47ffdc8-d9e1-4dc8-9f5f-0c14ebb9cd00,polars_engine,parquet_wide_uncompressed,100000,3_compute_opt,2,0.957518,0.004315,0.010663,0.940628,0.9556060000000001,0.0,79,28.6,100.0,96.7,3820.6,3217.1,False
c47ffdc8-d9e1-4dc8-9f5f-0c14ebb9cd00,polars_engine,parquet_wide_uncompressed,100000,3_compute_opt,3,0.954668,0.004082,0.010493,0.938199,0.952774,0.0,79,29.6,100.0,99.3,3854.4,3251.3,False
c47ffdc8-d9e1-4dc8-9f5f-0c14ebb9cd00,polars_engine,parquet_wide_uncompressed,100000,3_compute_opt,4,0.949274,0.004215,0.010503,0.932856,0.947574,0.0,79,30.1,100.0,100.0,3885.2,3289.1,False
c542e961-748f-46c1-afd1-2f8231fb3bf7,duckdb_sql,parquet_wide_uncompressed,100000,3_compute_opt,0,8.682299,0.004948,0.004759,8.672356,8.682063000000001,0.0,697,91.2,100.0,100.0,22527.3,19507.7,False
c542e961-748f-46c1-afd1-2f8231fb3bf7,duckdb_sql,parquet_wide_uncompressed,100000,3_compute_opt,1,8.572722,0.004342,0.004494,8.563729,8.572565,0.0,686,93.2,100.0,100.0,22519.7,19495.3,False
c542e961-748f-46c1-afd1-2f8231fb3bf7,duckdb_sql,parquet_wide_uncompressed,100000,3_compute_opt,2,8.563106,0.004174,0.004623,8.554167,8.562964,0.0,686,92.6,100.0,100.0,22538.3,19494.3,False
c542e961-748f-46c1-afd1-2f8231fb3bf7,duckdb_sql,parquet_wide_uncompressed,100000,3_compute_opt,3,8.818348,0.00459,0.004557,8.809051,8.818198,0.0,708,92.7,100.0,100.0,22528.3,19505.9,False
c542e961-748f-46c1-afd1-2f8231fb3bf7,duckdb_sql,parquet_wide_uncompressed,100000,3_compute_opt,4,8.783077,0.004592,0.00508,8.773256,8.782928,0.0,704,93.4,100.0,100.0,22506.9,19517.4,False
c6646c35-ca95-46c0-affc-2cf962ec927e,numpy_vectorised,arrow_ipc,100,2_storage_opt,0,0.007791,0.004219,0.000329,0.001618,0.006166,0.0,7,95.7,95.7,95.7,110.7,110.7,False
c6646c35-ca95-46c0-affc-2cf962ec927e,numpy_vectorised,arrow_ipc,100,2_storage_opt,1,0.008477,0.004207,0.000311,0.001611,0.006128999999999999,0.0,6,100.0,100.0,100.0,111.1,111.1,False
c6a0ca56-b930-45bc-b5ba-bb1b40dd5ea9,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,0,5.659331,0.004993,0.043701,5.610474,5.659168,0.0,431,17.6,100.0,100.0,22001.1,15185.7,False
c6a0ca56-b930-45bc-b5ba-bb1b40dd5ea9,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,1,5.729189,0.004182,0.043819,5.681025,5.729026,0.0,435,17.5,100.0,98.2,22001.1,15159.8,False
c6a0ca56-b930-45bc-b5ba-bb1b40dd5ea9,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,2,5.638599,0.004501,0.043548,5.590403,5.638452,0.0,427,17.3,100.0,97.2,22001.1,15169.5,False
c6a0ca56-b930-45bc-b5ba-bb1b40dd5ea9,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,3,5.667267,0.004219,0.043626,5.619279,5.667123999999999,0.0,431,17.5,100.0,97.2,22001.2,15158.3,False
c6a0ca56-b930-45bc-b5ba-bb1b40dd5ea9,numpy_vectorised,parquet_wide_uncompressed,1000000,2_storage_opt,4,5.694007,0.00463,0.043741,5.645492,5.693863,0.0,433,17.5,100.0,99.7,22001.2,15198.1,False
c72aaf12-49c7-4c9c-89dd-c7a10310d362,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,0,0.011319,0.008568,0.001389,0.001194,0.011151,0.0,10,15.2,15.2,15.2,1062.9,1062.9,False
c72aaf12-49c7-4c9c-89dd-c7a10310d362,rust_rayon,parquet_wide_uncompressed,100,3_compute_opt,1,0.014265,0.011129,0.001511,0.00146,0.0141,0.0,9,12.5,12.5,12.5,1063.0,1063.0,False
